"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions","actions href"
"7","/10","Lots of fun for a casual movie night!","https://www.imdb.com/review/rw9699332/?ref_=tt_urv","denimberet","https://www.imdb.com/user/ur156323765/?ref_=tt_urv","24 March 2024","Fantasy isn't my favorite genre, but I thought this one was a lot of fun. LOTR or Willow it is not. I highly doubt it will stand the test of time because it lacks the depth and complexity of great fantasy movies. Even so, it was (for me, anyway) a nail-biter and a perfect low-investment, high-velocity movie for a night when you just want pure entertainment. There are a few missteps that made me roll my eyes a bit, such as Brown's overdone makeup, but I wasn't expecting great art. My only regret is that I watched it right before bedtime, because it was so exciting that I had a hard time falling asleep and sleeping deeply.","51 out of 66 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9699332/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Good movie. That's it.","https://www.imdb.com/review/rw9668522/?ref_=tt_urv","jonathancg-12884","https://www.imdb.com/user/ur72505795/?ref_=tt_urv","10 March 2024","I don't really understand why people expect masterpieces from every new movie release.Damsel is fun, entertaining, special effects are really good, better than latest summer blockbusters with bigger budgets (despite what IGN says) and the plot delivers exactly what it sells. This is not an indie Oscar Winner movie and it doesn't pretend to be neither.Stop trying to look for art in everything, like there are Bethoveen masterpieces and Tomorrowland EDM music to just jump around there are also movies to admire with all your senses and movies to enjoy on a Sunday evening.The movie is good and it doesn't deserve to be bashed because people were looking for another Schindler's List on it.","432 out of 655 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9668522/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"6","/10","Good but not as smart as it thinks it is","https://www.imdb.com/review/rw9666046/?ref_=tt_urv","masonsaul","https://www.imdb.com/user/ur94560739/?ref_=tt_urv","8 March 2024","Damsel really isn't as subversive as it thinks it is and takes way too long to get going, wasting the first 30 minutes on a twist so obvious the trailer didn't even bother to hide it. Once it actually gets to the central idea of cat and mouse between a Princess and a Dragon it's a lot stronger, powering through on the momentum of the endless chase.Despite a few big names in the supporting cast, Millie Bobby Brown really carries this. There's some really clunky lines of dialogue here and she delivers them with enough conviction to make them work. Shohreh Aghdashloo voicing the Dragon is inspired casting that really helps it get going after the weak opening.Juan Carlos Fresnadillo's direction does a lot to help this Netflix original come closer to looking like a real movie compared to a lot of what's come before. It essentially spends the entire run time alternating between some solid sets, locations and distractingly low quality CG with some good individual set pieces and ideas which remind you this is the director of 28 Weeks Later.","213 out of 340 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9666046/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","At least they did not destroy one of our beloved ip's","https://www.imdb.com/review/rw9674863/?ref_=tt_urv","alexkzapf","https://www.imdb.com/user/ur106402531/?ref_=tt_urv","13 March 2024","Not sure why all the hate. Is it for everybody. No. But. For what it is and intends to be. It is quite good. Elodie is not a Mary Sue. She is not perfect. Not all knowing. And. She has an arc and growing pains in her story. I will be the first to admonish companies like Disney and the Ilk for interpreting beloved characters for modern audiences. This movie does none of that. It has created a heroin that has to use her wits and smarts to win and conquer her setbacks. In a good way there are cringe lines and
moments. But. For the most part. It's good writing and it serves the story. I know we have been fooled once too many times. But. This is not one of those. The acting is good for what the story needs. We need to be accepting of new takes on old stories. As long as they don't try to change a beloved story or character to push their message or what their beliefs are. Again. Not for everyone. It is enjoyable.","99 out of 155 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9674863/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Dragon slayer meets Princess Bride","https://www.imdb.com/review/rw9668649/?ref_=tt_urv","michelermitchell","https://www.imdb.com/user/ur5571861/?ref_=tt_urv","10 March 2024","You get what's promised: a well produced movie centered on the struggle between a princess with a strong sense of honor and the dragon to whom she was to be sacrificed.The timing and pace of the story is well balanced. A straight forward simple plot, basic dialogue, and surface-level only character development in keeping with the kind of fairy tale stories it is based with a little twist on the old tales in that the princess finds her own strength and makes her own choices.Locations, sets, costuming and CGI were all well done and everyone delivered solid performances.It's not ""Reign of Fire"", more like a ""Snow White"", so don't overthink it or expect anything groundbreaking and just watch an entertaining movie.","20 out of 27 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9668649/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Good Fantasy movie.","https://www.imdb.com/review/rw9669747/?ref_=tt_urv","deloudelouvain","https://www.imdb.com/user/ur58525162/?ref_=tt_urv","10 March 2024","If you don't like Fantasy movies this one isn't one for you but if you're easily entertained by dragons and such Damsel is worth a watch. I like that kind of stuff so I was entertained. Millie Bobby Brown is still a young actress and since the excellent series Stranger Things it's obvious she will get a lot of roles in the future. She's definitely eye candy and isn't a bad actress. The movie is mostly about her so she has a lot of screen time. The special effects and CGI's were of good quality. The story is simple and easy to follow. You just have to be a fan of the Fantasy genre otherwise you won't like this movie. It's fun to watch in my opinion.","202 out of 363 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9669747/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"8","/10","Enjoyable fantasy flick with a cool dragon and kick ass heroine","https://www.imdb.com/review/rw9691983/?ref_=tt_urv","KatOfJelly","https://www.imdb.com/user/ur131255579/?ref_=tt_urv","21 March 2024","You know what. I liked it. Was it a masterpiece? Nope not at all. But not every movie needs to be. Some days you just want to be entertained and this movie does the trick. Sure it was corny and predictable, but sometimes you want that in a film.But it also held my attention for the entire run time - which is kinda impressive considering my short attention span (normally I'd be on my phone after the first 30mins or so).Plus the dragon was brilliant. I loved everything about it. It's design and animation was cool and Shohreh Aghdashloo's voice was perfect fit for the dragon - Gravelly, but still matronly and feminine.If you like female heroines kicking butt, dragons, fantasy and pretty special effects and just want some mindless entertainment - give it a try.","62 out of 89 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9691983/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","A Twist on an Old Trope","https://www.imdb.com/review/rw9701368/?ref_=tt_urv","Eric266","https://www.imdb.com/user/ur23467935/?ref_=tt_urv","25 March 2024","I'm an avid watcher of the YouTube channel The Critical Drinker. He's a film critic who gives his reviews while pretending (I think) to be drunk. He absolutely eviscerated this movie.However, I quite enjoyed it. It took a basic principle of the damsel in distress and added a new twist. Millie Bobbie Brown is the damsel of the title, named Elodie. She is the oldest daughter of the King Bayford (Ray Winstone). Elodie has a younger sister, Floria (Brooke Carter) and her stepmother is Lady Bayford (Angela Bassett). Their kingdom is very poor, so King Bayford betroths Elodie to Prince Henry (Nick Robinson) from a rich kingdom run by Queen Isabelle (Robin Wright). The problem is, Queen Isabelle's ancestors tangled with a nearby dragon (Persian actress Shohreh Aghdashloo provides the delicious voice of the dragon) and are forced to offer a sacrifice to the dragon in the form of a princess. By having Prince Henry marry someone from another kingdom, they can sacrifice that poor girl instead of one of their own. So, naturally, Elodie gets hurled into the dragon's lair after her wedding.However, Elodie is not your typical damsel. She is smart, resilient and resourceful. She plays a cat and mouse game with the dragon trying to stay alive. Along the way, she discovers the truth about the dragon's history.Ms. Brown is very good as Elodie. She does not come off as a girl boss. She is determined, scared, brave and vulnerable. Angela Bassett also has a nice turn as the stepmother who is anything but evil. Another trope twisted, as she is a fierce ally. Robin Wright is elegant and vile as Queen Isabelle who is willing to offer up innocent girls to save her kingdom.The sets are beautiful and the action is well directed. The story moves along and is very compact so we learn everything without having to have it explained to us via exposition (a very common thing with today's writers). There is no fluff in this movie and its runtime of 110 minutes moves along quickly. The one negative in this movie is the dialogue. Its not terrible, but its not great either. Some of it is corny and some of it comes off as copied from an old folk tale. It doesn't ruin the movie, but it does make you chuckle for the wrong reasons.I gave it a 7 because of the dialogue and some of the scenes are so dark you can't tell what's happening.","22 out of 33 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9701368/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"3","/10","Lame","https://www.imdb.com/review/rw9667070/?ref_=tt_urv","Tweetienator","https://www.imdb.com/user/ur64264987/?ref_=tt_urv","9 March 2024","Watching any episode of Xena: Warrior Princess is more entertaining and fun than this - a most stupid plot that is nothing but a melting pot of well-known ideas with twists one sees miles ahead. This is truly a most mediocre movie, a more or less soulless rehash of well-known and overused stories, woven together without much skill and intelligence, creativity. Anyway, Damsel is like too many movies these days - produced, directed, and written by people without any heart for the art of movie-making. It's no more art but work. What else? Production and acting are sufficient, special effects meandering between solid and rather bad computer game cinematic. Final words, Damsel is boring, redundant, generic, and as plastic as it gets - not one character one really cares about, because, well, they are all just a copy of a copy of a copy. And the revelation or twist in the end is so predictable, that it is really just lame: a couple of days ago I put Krull again on my plate - it's (almost) Citizen Kane compared to Damsel. Exact rate: 3.5.","495 out of 752 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9667070/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
"7","/10","Loved It!","https://www.imdb.com/review/rw9680696/?ref_=tt_urv","slimtonone","https://www.imdb.com/user/ur8201040/?ref_=tt_urv","16 March 2024","I didn't expect much from this movie, but wow, was I pleasantly surprised. Granted, the sorry is fairly simple and somewhat shallow, but the action is incredible. The cinematography is fantastic and the special effects are phenomenal. Everything is seemless. Director Fresnadillo did a masterful job. I fell in love with both Elodie and the Dragon. (Millie Bobby Brown is much better here than in that lame role as Eleven in Stranger Things!) And if you find yourself rooting for the Dragon, don't give up! Not sure I like the very end, but I can't come up with a better ending myself, so I'm quite satisfied.I don't recommend watching this with very young children.","35 out of 61 found this helpful.
                        
                        
                             |","https://contribute.imdb.com/review/tt13452446/rw9680696/report?bus=imdb&return_url=https%3A//www.imdb.com/close_me&site=www&ref_=tt_urv"
