"rating-other-user-rating","title","title href","username","review-date","text"
"6","I was expecting a far worse movie, but I was entertained","https://www.imdb.com/review/rw9806548/?ref_=tt_urv","bwgood77","24 May 2024","Seeing Atlas starring Jennifer Lopez pop up on Netflix doesn't necessarily leave you with a lot of hope that it's going to be a good movie, but I surprisingly liked it much more than I expected.It may not start off particularly strong, but it gets going and I feel Jennifer Lopez did a better job acting than I expected, and I do remember her doing fairly well at times, like in Out of Sight.Anyway, it really gets going after about 20-30 minutes, and the action is very well done in my opinion and fun to watch. Think Halo but even more action at it's best. She doesn't trust AI but slowly learns to trust the AI she is forced to work with and develops a bond that grows throughout, and I enjoyed that.I think many Netflix movies get unfairly rated poorly and of course anything starring JLo will as well. As usual, it wouldn't surprise me if the very low ratings came from people who didn't even watch it. I really don't feel if I was going to give something a 4 or lower, I would even continuing watching it and didn't feel I could give a fair review (unless I was in a theater with friends or family and had to sit through a movie I hated).Anyway, if you like action and sci fi, and go in for some fun not expecting some masterpiece, I think you will definitely be entertained."
"6","Not as Bad as some has said...","https://www.imdb.com/review/rw9808605/?ref_=tt_urv","datcherson","25 May 2024","Was it great no!!! Will it hold a spot in the Sci-fi Hall of Fame No!! But Did it hold me and Family attention for 2hr sure did.. The CGI was top notch, story was nothing new,but in today's world where AI is real thing you feal a little bit closer to the story than say 40 years ago when Terminator came out..Jlo is no Ripley from Aliens but she tried.. The back and forth between her and Smith was entertaining. Everyone is entitled to there opinions but to say this movie is Trash just because Jlo is in it, is crazy . And Simu Lui who plays Harlen the ""Bad Guy"" did a good job also. Don't let some of these reviews stop from watching a Decent chilling at home on the couch with some popcorn movie.."
"7","Far from perfect, but surprisingly entertaining!","https://www.imdb.com/review/rw9807758/?ref_=tt_urv","benjaminprins","25 May 2024","If you are a sci-fi fan and are known with the Titanfall game series, this movie will be very surprising. It is yet another take on the 'ai will take over the world'. But since I am a big fan of the Titanfall series it was great to experience a movie that was set unintentionally in the world of Titanfall. Jennifer Lopez would not have been my first choice to star in this type of movie, but I have to say that I was pleasantly surprised by her acting. The relationship between ai and humans got very well portrayed by Jennifer. I even almost shed a tear in the end of the movie. Having said this, I would say that there is a lot of untapped potential. It was a good experience, but it could have been amazing with a more compelling story and build up. The story felt a bit cliché at moments but the CGI partly made up for this."
"6","Wrong lead but decent CGI","https://www.imdb.com/review/rw9809786/?ref_=tt_urv","Tomaslillebror","26 May 2024","I kept asking myself throughout the movie wether Jennifer Lopes character was adapted for her or if Jennifer Lopes adapted to the character.The story is that there is a war between humanity and a rogue AI. We get to follow Jennifer Lopes character attempting to destroy the rogue AI.There is a lot of dialogue between what is portraited as the good AI and Jennifer Lopes character and this is where the problem happen in my opinion. Her character is so immature, entitled and emotional that it ruins the movie. This is because it isnt believable that someone of high intellect would act like that and its just annoyying to watch.The dialogue between Jennifer Lopes character and the good AI also seems like an advertisement for AI because the movie is portraiting the good AI as a loyal human friend.The best part of the movie is Mark Strongs acting and character. He has a small role but does it well.The CGI is great and camera, music and sound is just fine. So you will experience some nice sci fi watching this.6/10 For the CGI."
"3","Had potential but destroyed by JL's over acting","https://www.imdb.com/review/rw9812141/?ref_=tt_urv","chursyheli","27 May 2024","**Movie Review: Atlas**Alright, let's talk about ""Atlas."" The graphics are absolutely banging, and the action scenes? Properly nailed it. You're on the edge of your seat, loving every punch and explosion. The storyline, though, is a bit meh. Nothing to write home about, really.Now, here's the kicker: Jennifer's acting. Blimey, it's a disaster. She's overacting like there's no tomorrow, and it just ruins the whole vibe. It's so over the top, you can't take any of the serious bits seriously. It's a real shame because everything else was looking pretty decent.So, in a nutshell, ""Atlas"" is a bit of a mixed bag. Great visuals and action, but the story's just alright, and Jennifer's performance? Total rubbish. If you're splashing out on a big project, make sure the acting doesn't muck it all up."
"4","Why do they keep giving Brad Peyton money?","https://www.imdb.com/review/rw9806254/?ref_=tt_urv","darrenn","24 May 2024","Brad Peyton seems to be another one of these directors that Hollywood keeps throwing money at for mediocre formulaic movies, almost certainly written with AI now, trading on big star names & flashy soulless CGI. Jennifer Lopez is still just an average actor I hate to say, propped up by better actors around her. Using AI as a plot device has already been done so much better in movies since the 80's, but is now mostly just boring. It's easy to see all the movies Peyton is trying to pay homage to, but it's usually in the laziest way possible. The excessive time of Lopez alone in her mech suit, clearly just hours of her, green screen, & the director trying to come up with remotely interesting dialogue, is truly a test of endurance to watch. This movie will be forgotten within months."
"6","The six is for effects","https://www.imdb.com/review/rw9806032/?ref_=tt_urv","pensman","24 May 2024","The writers latch onto a current concern: what happens if AI develops to a point where it decides it's time for us to go and it's bye-bye humanity. The special effects are good and I like imaginings of what the future will look like and what I will miss out on, unless maganuts destroy everything first.I assume most who decided to watch Atlas did so because they like a good sci-fi space opera and wanted to see how Jenny from the block is holding up.There isn't a lot new here as plot goes: madman (mad robot, same thing) is determined to kill everyone except for a few chosen; heroine is off to stop him. And plot twist (not really), heroine finds soul mate.The film is pretty much a one woman show as Ms. Lopez is on camera 100 per cent of the time. As she has to work in a confined space for much of the film, acting as such is how well Ms. Lopez can use her voice to create mood and sense of urgency. Basically a decent pop corn flic."
"2","Why oh why...","https://www.imdb.com/review/rw9812296/?ref_=tt_urv","barbosa_antonio","27 May 2024","A good idea was laid to waste by such poor acting. It was painful to watch Jenifer Lopez... ""pain"" (grimace) for the duration of the whole movie... walking as if she had a stick on her legs and back (apparently it is how a ""tough"" girl walks?) was there no other emotion for the whole movie?The whole environment felt like a game rather than a real life/alien environment.It felt hollow, empty, rushed, but lots effort to do... what?Why would you destroy a good story with kid gimmicks, frag fest and a horrible actress? Keep her to the rom com where she was ok?I am even struggling to put this together..."
"8","Why was Jennifer Lopez casted in this movie? but in the end she is not that bad","https://www.imdb.com/review/rw9805931/?ref_=tt_urv","kaefab","24 May 2024","Why was Jennifer Lopez casted in this movie? But in the end she is not that bad.I am not sure why people are giving the movie a bad rating and saying its bad, first off the special effects are quit good, I just finish watching Parasyte the grey and those were bad effects.Lopez actually pulls it off, she is not like invincible or anything she uses her intelligence instead of her strength combine with Adam the mech they are a great team.Atlas is far better than Rebel Moon at least part 2, and is a great mech sci fin movie in the end its entertaining even with the 2 hour length.If you like sci fi and good FX give this movie a chance honest, I almost skip it due to all those bad reviews, its clearly not a 10 but it does not deserve a 1 and certainly not all the hate it getting."
"7","Surprisingly entertained","https://www.imdb.com/review/rw9808397/?ref_=tt_urv","sheilaodonovan-71594","25 May 2024","I often leave the cinema if I'm not enjoying the film. It's supposed to be entertaining, right? So, I actually enjoyed this movie. It was an easy watch, I didn't feel patronised, or spend any time wondering what the hell was going on. I was entertained.The storyline was engaging, JLo is a pretty versatile actress, as long as the character is easy on the eye and uncomplicated. Tick, tick. I liked the repartee between Smith and Atlas. The graphics were fine, the fight scenes weren't overly in your face, there were no animals, so no animals were hurt, and the vegetation was interesting. And I think Mark Strong is quietly cool."
"7","Not as bad as described","https://www.imdb.com/review/rw9808709/?ref_=tt_urv","horstbegerak","25 May 2024","I had fun watching it. It is not Aliens, but it is good enough for an evening having dinner. I like Jennifer Lopez on screen. I enjoyed her in Out of Sight and Shades of Blue. She got better with the years and strong but difficult characters seems to fit her.For me Atlas had some flavor of ""Outer Limits"". The dialogs between her and Smith are funny and that a strong AI comes to the conclusion that the problems humans have are not solvable because humans are the problem is not out of the thinkable ideas.Tricks are enjoyable and the action is believable. It is to mention that she is not a skinny superfighter who knocks out 10 grown up and trained men."
"2","This Is Not I-Robot","https://www.imdb.com/review/rw9805482/?ref_=tt_urv","TMAuthor23","24 May 2024","For those wondering how Jennifer Lopez managed to get cast in the lead role for this film, a role she is completely wrong for...she produced it.Without giving one specific plot point away, it's only necessary to compare this to the Will Smith I-Robot film to know what it's about.In I-Robot, an imperfect movie, but a box office smash, there was a damaged protagonist who hated AI (robots) and allowed it to cloud his thinking and consume his life and career. When an existential threat of true AI dominance arises, threatening human extinction, the protagonist bonds with an AI cohort, and fends off the uprising and destroys the AI central threat.This movie really wanted to be that movie, except in space with a female lead. There is real thing in Hollywood: you can steal a story if you change several key aesthetics. So, here we are.There are a lot of other problems. The most visible of which is Lopez. She's the kind of actress who some time ago encountered the nadir that many actors do: her status as a celebrity eclipsed her stature as an actress, and she began performing in a very packaged and self conscious way. When you can tell an actor is thinking about how they look in a film, that's not good.The other challenges? When a lead performer is as polarizing as Lopez there are many who will ""hate watch"" this, rubbing their hands together in anticipation of the imminent schadenfreude.It's further complicated that the director, Peyton (Andreas), is familiar enough with spectacle, but not masterful in putting together something that should be of epic scale.Add to those obstacles the glaringly apparent lack of originality in the script or character beats, and you have a patient that is Dead On Arrival.The script attempts to make the story of AI galactic domination relatable by focusing on Atlas's (Lopez) personal history with betrayal. Unfortunately it throws the entire weight of impending genocide out of orbit. It makes the trials of the protagonist feel small; and Lopez, not looking dirty enough or scarred enough, hits every mark we see coming from a mile away.Mark Strong, Simu Liu and other supporting cast members are saddled with similar story, plot and dialogue problems.What we get is another big splashy Netflix film that will be forgotten in a hurry; to be half-watched while doing chores or sitting on a plane.Bummer."
"7","A Pulpy, fun Sci Fi yarn from San Andreas director with a committed performance from Jennifer Lopez.","https://www.imdb.com/review/rw9807404/?ref_=tt_urv","ubikcorp","25 May 2024","I have no idea why some reviewers are panning Jennifer Lopez' acting. Her emoting and physical acting, reacting to the intricate cgi environments and an AI sidekick named Smith (nod to The Matrix) is nothing short of astounding. For a Netflix original.film, this is a lean, action packed, often funny and tongue in cheek throwback that will make you feel you've been reading a late 5O's pulp magazine. It revolves around an AI expert sent into space in a last ditch mission to stop a rogue AI from launching an apocalyptic attack against human kind (his idea of saving humanity from themselves). In the.end, a story about redemption and overcoming prejudice, Not bad at all."
"7","Peace To The Fallen...","https://www.imdb.com/review/rw9818591/?ref_=tt_urv","cahidi","31 May 2024","I just don't get what made a lot of people kept on hating J-Lo. Saying that she can't act, can't sing, bad hair, bad attitude, etc. And it affected their way of rating this movie. Their rating became subjective, not objective. I mean, I do know that she often acts like a diva on set. But as a reviewer of this movie, I'm gonna be objective. Unlike those morons with clouded judgment. Talking about her acting, it's on point. She really breathe the life into Atlas Shepherd. This movie is a combination of sci-fi and action movie. But it seemed to lean more on the action side. Personally I don't mind at all. Cause I enjoy both genre equally. The story is pretty straightforward and there is no major plot twist. And I think anyone can guess the twist at the end of the movie. It's pretty obvious. But still, it's a great movie, no matter what J-Lo's haters said. You'd be an idiot to miss this one. Especially if you're a fan of action or sci-fi movies."
"4","Unfortunately not a good movie...again.","https://www.imdb.com/review/rw9806076/?ref_=tt_urv","johnnychicago-75285","24 May 2024","That was one of the movies where I'm glad I wasn't sitting in the theater. Otherwise I would have mourned my money and left the theater before the last half hour, or maybe even earlier. I was able to fast-forward and wasn't surprised in the end because the ending was predictable, just like the whole movie. Doesn't anyone bother to write a coherent story anymore? A few action sequences and some CGI were still reasonably well done, but they don't make up for the bad story, the lousy dialog and the plot holes. In the beginning I still had hope that the movie would be reasonably good, but as the story progressed this hope also faded. A movie to forget...unfortunately. I give it 4 stars because the beginning was still reasonably entertaining."
"8","Underratted","https://www.imdb.com/review/rw9809116/?ref_=tt_urv","fountainofjuice","26 May 2024","I'm not sure why there are so many sub-par ratings. This movie is a solid action adventure sci-fi with heart. Jennifer Lopez delivers a great performance that is underappreciated. There's so much available at the click of a button for the spoiled entertainment junkies these days that perhaps their expectations have gone rotten. I liked this movie, and it doesn't really matter if the basic story is one that has been told before. The execution was done well and the acting was solid. The special effects are also impressive, such that if this movie were released 20 or 30 years ago it might have been hailed as a masterpiece."
