"rating-other-user-rating","point-scale","title","title href","display-name-link","display-name-link href","review-date","text","actions"
"1","/10","Lazy writing","https://www.imdb.com/review/rw9349928/?ref_=tt_urv","darkocrnjanski","https://www.imdb.com/user/ur103506766/?ref_=tt_urv","30 September 2023","When will you stop making these movies?! Films with the stupidest script and history of cinema, a 7-year-old child would have written the plot more meaningfully. I will definitely never buy Optimus Prime for a child, there is no one who did not beat him, the biggest weakling who is directly responsible for the suffering of his friends.With movies like this, you simplify the childhood of many people, one of them is me, who grew up enjoying watching Transformers, bought figurines, played games and couldn't wait for the movie to come out one day. Already with the first movie, you managed to make me hate the whole Transformers world. I watch movies just to laugh in disbelief at the kind of comedy you make. Stop milking the cow and let the Transformers rest in peace.And of course, white people are bad... 😏","9 out of 14 found this helpful."
"1","/10","nausea","https://www.imdb.com/review/rw9193814/?ref_=tt_urv","z-23436","https://www.imdb.com/user/ur106705294/?ref_=tt_urv","16 July 2023","The heroine is as ugly as a wild boar. This movie makes me want to vomit the whole time. Go politically correct. This movie has all the hallmarks of the nowaday Transformer movie: worn out clichés, a horrendous script that might as well have been written by teenagers with zero character development, lazy attempts at humour, tired clichés, the fake patriotism, and explosions explosions explosions.To top it off the creators have decided to broaden the market appeal by suddenly cast non-white actors and play what they seem to think is cool music. Sadly, I guess it could work but man, how lazy.I guess it might work for teenage boys filled with testosterone, can't really see who else this is marketed to.","27 out of 40 found this helpful."
"1","/10","A new low","https://www.imdb.com/review/rw9169963/?ref_=tt_urv","alexalex-44708","https://www.imdb.com/user/ur110812990/?ref_=tt_urv","6 July 2023","After the last Transformers movie, I really didn't think these movies could get any dumber, or that they would release even more of these, but I guess I underestimated the allure of another cash grab.This movie has all the hallmarks of the nowaday Transformer movie: worn out clichés, a horrendous script that might as well have been written by teenagers with zero character development, lazy attempts at humour, tired clichés, the fake patriotism, and explosions explosions explosions.To top it off the creators have decided to broaden the market appeal by suddenly cast non-white actors and play what they seem to think is cool music. Sadly, I guess it could work but man, how lazy.I guess it might work for teenage boys filled with testosterone, can't really se who else this is marketed to.","381 out of 509 found this helpful."
"1","/10","Very sad","https://www.imdb.com/review/rw9233869/?ref_=tt_urv","WickedMinded619","https://www.imdb.com/user/ur111343947/?ref_=tt_urv","2 August 2023","While the beast bot concept was cool they really didn't get much screen time. Too much cheesy bad acting and thrown wayyyy off track from last movies events. Yet another franchise forced compliance of current trends made this movie a total ruin. I'm glad it was only 2.99 to rent and didn't spend theatre prices. Entire original cast is gone replaced and forgotten. No mention of how Optimus's crew arrived at this point and time or any reference to what has happened. Feels like a filler piece to give a free ride on the wave everyone else has had to navigate. It's no wonder Michael bailed on this one. Not one single moment of awe that the other installments have had.","12 out of 19 found this helpful."
"1","/10","Same old story line with affirmative action cast","https://www.imdb.com/review/rw9285933/?ref_=tt_urv","jerry-32590","https://www.imdb.com/user/ur114151112/?ref_=tt_urv","27 August 2023","Same story as many previous transformers movies. It was very tiring to watch as anyone can guess the whole story after 1 minute of watching. Also, same effects and similar fight scenes. It makes no sense why they would look like machines and animals of earth. The only difference is the casting, an all new minority actors. The street talking guy and stereotypical archeologist in black are not good fit for the movie. Acting is very weak and the lines are cartoon level at best. The 1st movie was good, and the second was ok, but it became pointless after that. I regret wasting time watching it. People who think it's a good movie needs to reevaluate their existence.","15 out of 26 found this helpful."
"1","/10","Very disjointed and does not follow the Transformer storyline","https://www.imdb.com/review/rw9216428/?ref_=tt_urv","barryrod","https://www.imdb.com/user/ur123759462/?ref_=tt_urv","26 July 2023","I tried 3 times to watch this film and it can not seem to hold my attention. I keep dozing off because I do not care about anybof the characters. The storyline does not mesh with any other Transformer movie and just seems as if they expect the movie to thrive on CGI alone. Also, they are trying WAY to hard to inject comedy, but it is not funny in the least. It is pretty cringeAnother issue is them portraying white people as stupid and evil, with POCs as the smart saviors. Seriously, this is just terrible and obviously agenda driven.I spent much of the movie praying for scourge to get the whole key so the movie would be over faster.","15 out of 24 found this helpful."
"1","/10","PC Trash with horrible music and acting","https://www.imdb.com/review/rw9185275/?ref_=tt_urv","paranoiia-26206","https://www.imdb.com/user/ur131013922/?ref_=tt_urv","12 July 2023","Transformers movies where never good but at least they where nice too look at. But this.... this hit so low that it tried to dig to the center of the earth. Its badly made, chaotic with bad acting, lack of any logic and worst part is that its not even good looking movie. Its 2023 and CG look worst than in first Transformers. And of course its just another movie that try really hard to push PC agendas of dark skin = good, white skin = bad, that no one buy anymore as its just annoying and fake. You just rise another generation of ""blaming everyone, but not me"" people. At least they could hire actors that could pull some charisma and.... good acting in it to make it at least entertaining, but no, here we have no jokes, even cringe ones, no good looking people, just low effort mediocrity...Overall, AVOID at any cost.","70 out of 103 found this helpful."
"1","/10","Oh my eyes","https://www.imdb.com/review/rw9239677/?ref_=tt_urv","ChiefReviewer","https://www.imdb.com/user/ur135281474/?ref_=tt_urv","5 August 2023","This film was made solely to degrade society. Bad plot, terrible dialogues, the stupidest actions of the characters. Action scenes are nothing of themselves. When watching in the cinema, a kid was sitting behind me, who admired what was happening, and I realized that the younger generation was lost, how good it was that I was born earlier, when a good movies was coming out. It's good that on the day of viewing I still watched new Korean movie, from which I had good impressions. I hope there will be no continuation of this universe.Another proof that restarting the series is very bad, people have run out of fantasy. Who is sponsoring it at all?","18 out of 31 found this helpful."
"1","/10","White people are bad","https://www.imdb.com/review/rw9259319/?ref_=tt_urv","iceteapeach","https://www.imdb.com/user/ur136691045/?ref_=tt_urv","14 August 2023","The dialogue is boring and stale.Movie script does not make much sense, I almost fell asleep thus had to stop watching.It's clear that all the talented and amazing, struggeling people in this movie are of black or brown skin complexion.White people take advantage of everyone and are mean and opressive.I could only watch 20minutes until I realized that this movie was not for the purpose of entertainment but for making me realize that I as a white male am a bad person and that this movie is mostly a continuance of the current political agenda.Do not watch this garbage. Stick with the original trilogy.","117 out of 168 found this helpful."
"1","/10","Transformers: Rise of the.... STOP RISING !!!","https://www.imdb.com/review/rw9224949/?ref_=tt_urv","YYYYYYYYYYyyYYYYYYYYYYY","https://www.imdb.com/user/ur146046717/?ref_=tt_urv","29 July 2023","Wow. Who made this? A 3rd grader?Why with typical teenager raging with cliche dialogue that we'd see in Power Rangers?If this movie was made for strictly PG, then I'll understand and move on.But this is just so poorly written.. human teenager fighting giant boss robots and not a single drop of blood is shed. Hip Hop music 24/7... I never knew in war that you get to be so chill, you'd turn on hip hop and fool around, making jokes.WORLD IS ENDING AND ALL THESE FOOLS CAN THINK ABOUT IS ""HIP HOP"" , ""JOKES"", ""CHEESY DIALOGUE"".I mean.. if I had a job to save the planet from ending, I'd make sure this little bro shuts the heck up from spurting ""UR THE HERO"" cheesy phrases that he may have picked up from Karate Kid.","39 out of 62 found this helpful."
